Departamento,confirmado,recuperados,defunciones
Amazonas,2252.0,0.0,0.0
Antioquia,3873.0,0.0,0.0
Arauca,76.0,0.0,0.0
Atlantico,21189.0,0.0,0.0
Bogota,27118.0,0.0,0.0
Bolivar,8560.0,0.0,0.0
Boyaca,351.0,0.0,0.0
Caldas,244.0,0.0,0.0
Caqueta,31.0,0.0,0.0
Casanare,65.0,0.0,0.0
Cauca,331.0,0.0,0.0
Cesar,884.0,0.0,0.0
Choco,1391.0,0.0,0.0
Cordoba,581.0,0.0,0.0
Cundinamarca,2436.0,0.0,0.0
Guainia,14.0,0.0,0.0
Guaviare,37.0,0.0,0.0
Huila,322.0,0.0,0.0
La Guajira,285.0,0.0,0.0
Magdalena,1624.0,0.0,0.0
Meta,1199.0,0.0,0.0
Narino,3040.0,0.0,0.0
Norte de Santander,305.0,0.0,0.0
Putumayo,20.0,0.0,0.0
Quindio,161.0,0.0,0.0
Risaralda,502.0,0.0,0.0
San Andres y Providencia,24.0,0.0,0.0
Santander,628.0,0.0,0.0
Sucre,976.0,0.0,0.0
Tolima,766.0,0.0,0.0
Valle del Cauca,9277.0,0.0,0.0
Vaupes,28.0,0.0,0.0
Vichada,1.0,0.0,0.0
