id_estado,confirmado,estado
15,1893.0,Mexico
28,211.0,Tamaulipas
9,3256.0,Ciudad de Mexico
31,257.0,Yucatan
16,165.0,Michoacan
12,152.0,Guerrero
19,240.0,Nuevo Leon
24,63.0,San Luis Potosi
26,141.0,Sonora
27,614.0,Tabasco
17,145.0,Morelos
14,242.0,Jalisco
30,317.0,Veracruz
5,270.0,Coahuila
3,209.0,Baja California Sur
11,170.0,Guanajuato
8,193.0,Chihuahua
23,472.0,Quintana Roo
7,105.0,Chiapas
2,1024.0,Baja California
21,440.0,Puebla
32,52.0,Zacatecas
25,607.0,Sinaloa
29,104.0,Tlaxcala
6,19.0,Colima
20,86.0,Oaxaca
1,129.0,Aguascalientes
18,52.0,Nayarit
13,143.0,Hidalgo
4,52.0,Campeche
22,90.0,Queretaro
10,37.0,Durango
