Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2677.0,2487.0,107.0,83.0
Antioquia,67033.0,45345.0,1293.0,20395.0
Arauca,747.0,367.0,11.0,369.0
Atlantico,62271.0,53204.0,2806.0,6261.0
Bogota,179540.0,109655.0,4647.0,65238.0
Bolivar,22615.0,19242.0,656.0,2717.0
Boyaca,2627.0,1235.0,56.0,1336.0
Caldas,2024.0,1051.0,28.0,945.0
Caqueta,4428.0,2260.0,135.0,2033.0
Casanare,780.0,385.0,17.0,378.0
Cauca,3703.0,2191.0,123.0,1389.0
Cesar,6968.0,3650.0,146.0,3172.0
Choco,3571.0,3002.0,125.0,444.0
Cordoba,16351.0,9041.0,1041.0,6269.0
Cundinamarca,18127.0,10643.0,472.0,7012.0
Guainia,28.0,13.0,2.0,13.0
Guaviare,205.0,157.0,0.0,48.0
Huila,3148.0,1429.0,78.0,1641.0
La Guajira,4006.0,2504.0,188.0,1314.0
Magdalena,10815.0,7313.0,558.0,2944.0
Meta,6260.0,3749.0,113.0,2398.0
Narino,12091.0,8500.0,436.0,3155.0
Norte de Santander,8103.0,4100.0,449.0,3554.0
Putumayo,2282.0,1227.0,103.0,952.0
Quindio,756.0,414.0,19.0,323.0
Risaralda,4098.0,2114.0,71.0,1913.0
San Andres y Providencia,115.0,46.0,0.0,69.0
Santander,11855.0,5659.0,470.0,5726.0
Sucre,9827.0,6677.0,429.0,2721.0
Tolima,5229.0,3132.0,123.0,1974.0
Valle del Cauca,41259.0,28260.0,1479.0,11520.0
Vaupes,165.0,67.0,1.0,97.0
Vichada,15.0,5.0,1.0,9.0
