Departamento,confirmado,recuperados,defunciones
Amazonas,2075.0,1167.0,75.0
Antioquia,1731.0,659.0,8.0
Arauca,2.0,1.0,0.0
Atlantico,7931.0,2390.0,322.0
Bogota,14537.0,6155.0,339.0
Bolivar,4623.0,1484.0,196.0
Boyaca,236.0,139.0,9.0
Caldas,188.0,125.0,7.0
Caqueta,25.0,21.0,1.0
Casanare,36.0,32.0,0.0
Cauca,166.0,69.0,8.0
Cesar,499.0,71.0,13.0
Choco,576.0,110.0,15.0
Cordoba,243.0,70.0,13.0
Cundinamarca,1519.0,419.0,37.0
Guainia,7.0,0.0,1.0
Guaviare,2.0,0.0,0.0
Huila,267.0,227.0,9.0
La Guajira,115.0,46.0,7.0
Magdalena,833.0,414.0,53.0
Meta,1003.0,939.0,11.0
Narino,2030.0,633.0,69.0
Putumayo,12.0,3.0,2.0
Quindío,123.0,95.0,4.0
Risaralda,302.0,233.0,11.0
San Andres y Providencia,17.0,15.0,0.0
Santander,356.0,159.0,21.0
Sucre,174.0,6.0,4.0
Tolima,314.0,206.0,11.0
Valle del Cauca,5258.0,1891.0,242.0
Vaupes,11.0,11.0,0.0
Vichada,1.0,0.0,0.0
