Departamento,confirmado,recuperados,defunciones
Amazonas,1505.0,96.0,54.0
Antioquia,861.0,396.0,6.0
Arauca,1.0,0.0,0.0
Atlantico,2853.0,268.0,72.0
Bogota,7386.0,1957.0,212.0
Bolivar,2305.0,323.0,108.0
Boyaca,162.0,58.0,5.0
Caldas,128.0,80.0,6.0
Caqueta,22.0,7.0,1.0
Casanare,32.0,15.0,0.0
Cauca,74.0,40.0,4.0
Cesar,96.0,54.0,11.0
Choco,109.0,12.0,4.0
Cordoba,92.0,20.0,5.0
Cundinamarca,538.0,208.0,14.0
Huila,237.0,143.0,9.0
La Guajira,49.0,12.0,3.0
Magdalena,504.0,150.0,35.0
Meta,969.0,94.0,8.0
Narino,787.0,79.0,32.0
Putumayo,8.0,0.0,0.0
Quindío,94.0,65.0,2.0
Risaralda,245.0,203.0,8.0
San Andres y Providencia,15.0,6.0,0.0
Santander,177.0,115.0,15.0
Sucre,7.0,1.0,0.0
Tolima,224.0,96.0,7.0
Valle del Cauca,2490.0,767.0,129.0
Vaupes,11.0,0.0,0.0
