Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2599.0,2366.0,104.0,129.0
Antioquia,49947.0,22017.0,878.0,27052.0
Arauca,448.0,178.0,8.0,262.0
Atlantico,58184.0,44999.0,2680.0,10505.0
Bogota,133423.0,62758.0,3668.0,66997.0
Bolivar,20276.0,15992.0,623.0,3661.0
Boyaca,1540.0,665.0,37.0,838.0
Caldas,1312.0,434.0,17.0,861.0
Caqueta,2493.0,693.0,59.0,1741.0
Casanare,451.0,185.0,7.0,259.0
Cauca,2654.0,1310.0,92.0,1252.0
Cesar,4466.0,2062.0,97.0,2307.0
Choco,3197.0,2538.0,114.0,545.0
Cordoba,9616.0,3921.0,820.0,4875.0
Cundinamarca,11828.0,6520.0,320.0,4988.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,149.0,62.0,0.0,87.0
Huila,1614.0,621.0,36.0,957.0
La Guajira,2731.0,1648.0,145.0,938.0
Magdalena,8260.0,4818.0,433.0,3009.0
Meta,3919.0,2272.0,57.0,1590.0
Narino,9644.0,5864.0,335.0,3445.0
Norte de Santander,4684.0,1554.0,246.0,2884.0
Putumayo,1422.0,508.0,63.0,851.0
Quindio,510.0,244.0,13.0,253.0
Risaralda,2615.0,1040.0,51.0,1524.0
San Andres y Providencia,49.0,33.0,0.0,16.0
Santander,6713.0,2187.0,236.0,4290.0
Sucre,7448.0,4512.0,395.0,2541.0
Tolima,3568.0,1929.0,80.0,1559.0
Valle del Cauca,31641.0,18685.0,1226.0,11730.0
Vaupes,61.0,59.0,1.0,1.0
Vichada,5.0,1.0,0.0,4.0
