Departamento,confirmado
Bogota,2958.0
Valle del Cauca,1059.0
Antioquia,443.0
Bolivar,353.0
Huila,133.0
Meta,565.0
Risaralda,211.0
Santander,124.0
Caldas,80.0
Cundinamarca,246.0
Atlantico,491.0
Quindio,60.0
Tolima,93.0
Cauca,35.0
Magdalena,236.0
Cesar,62.0
San Andres y Providencia,6.0
Casanare,19.0
Narino,201.0
Boyaca,47.0
Cordoba,29.0
Sucre,1.0
La Guajira,10.0
Choco,15.0
Amazonas,182.0
Caqueta,9.0
-   -,40.0
