Departamento,confirmado,recuperados,defunciones
Amazonas,1848.0,316.0,63.0
Antioquia,1171.0,491.0,6.0
Arauca,1.0,1.0,0.0
Atlantico,4116.0,825.0,115.0
Bogota,10370.0,3715.0,258.0
Bolivar,3270.0,611.0,152.0
Boyaca,211.0,90.0,8.0
Caldas,138.0,97.0,6.0
Caqueta,24.0,16.0,1.0
Casanare,35.0,24.0,0.0
Cauca,103.0,47.0,4.0
Cesar,287.0,60.0,11.0
Choco,227.0,31.0,7.0
Cordoba,135.0,46.0,7.0
Cundinamarca,925.0,272.0,18.0
Guainia,6.0,0.0,0.0
Huila,251.0,189.0,9.0
La Guajira,64.0,26.0,3.0
Magdalena,635.0,262.0,40.0
Meta,977.0,600.0,9.0
Narino,1210.0,199.0,48.0
Putumayo,9.0,1.0,1.0
Quindío,112.0,78.0,3.0
Risaralda,255.0,224.0,9.0
San Andres y Providencia,17.0,15.0,0.0
Santander,201.0,134.0,16.0
Sucre,24.0,4.0,0.0
Tolima,273.0,139.0,7.0
Valle del Cauca,3586.0,1148.0,168.0
Vaupes,11.0,0.0,0.0
Vichada,1.0,0.0,0.0
