Departamento,confirmado,recuperados,defunciones
Amazonas,1534.0,107.0,55.0
Antioquia,933.0,405.0,6.0
Arauca,1.0,0.0,0.0
Atlantico,3019.0,300.0,75.0
Bogota,7743.0,2055.0,218.0
Bolivar,2378.0,354.0,114.0
Boyaca,166.0,62.0,6.0
Caldas,130.0,81.0,6.0
Caqueta,24.0,7.0,1.0
Casanare,32.0,16.0,0.0
Cauca,77.0,40.0,4.0
Cesar,101.0,54.0,11.0
Choco,121.0,14.0,4.0
Cordoba,93.0,21.0,6.0
Cundinamarca,587.0,214.0,14.0
Huila,241.0,147.0,9.0
La Guajira,54.0,12.0,3.0
Magdalena,528.0,156.0,36.0
Meta,972.0,95.0,8.0
Narino,801.0,80.0,33.0
Putumayo,7.0,0.0,0.0
Quindío,94.0,66.0,2.0
Risaralda,245.0,203.0,8.0
San Andres y Providencia,15.0,6.0,0.0
Santander,179.0,115.0,15.0
Sucre,7.0,1.0,0.0
Tolima,237.0,97.0,7.0
Valle del Cauca,2673.0,803.0,135.0
Vaupes,11.0,0.0,0.0
