id_estado,confirmado,defunciones,estado
31,972.0,61.0,Yucatan
9,11664.0,928.0,Ciudad de Mexico
23,1227.0,229.0,Quintana Roo
22,341.0,27.0,Queretaro
15,7255.0,641.0,Mexico
2,2856.0,491.0,Baja California
25,1716.0,251.0,Sinaloa
26,687.0,39.0,Sonora
27,2066.0,266.0,Tabasco
8,799.0,161.0,Chihuahua
12,696.0,86.0,Guerrero
30,1666.0,197.0,Veracruz
5,625.0,54.0,Coahuila
14,747.0,66.0,Jalisco
17,979.0,140.0,Morelos
21,1272.0,172.0,Puebla
7,502.0,35.0,Chiapas
1,407.0,15.0,Aguascalientes
18,275.0,24.0,Nayarit
13,680.0,115.0,Hidalgo
16,718.0,73.0,Michoacan
28,864.0,50.0,Tamaulipas
19,755.0,41.0,Nuevo Leon
10,144.0,15.0,Durango
20,326.0,59.0,Oaxaca
6,54.0,7.0,Colima
29,475.0,79.0,Tlaxcala
11,619.0,59.0,Guanajuato
4,253.0,29.0,Campeche
3,420.0,25.0,Baja California Sur
32,172.0,22.0,Zacatecas
24,363.0,20.0,San Luis Potosi
