Departamento,confirmado,recuperados,defunciones
Amazonas,2179.0,1452.0,78.0
Antioquia,2369.0,862.0,11.0
Arauca,46.0,2.0,0.0
Atlantico,12228.0,2972.0,481.0
Bogota,17392.0,7206.0,422.0
Bolivar,5550.0,1893.0,229.0
Boyaca,263.0,167.0,9.0
Caldas,205.0,131.0,7.0
Caqueta,28.0,21.0,1.0
Casanare,39.0,33.0,0.0
Cauca,209.0,76.0,9.0
Cesar,589.0,92.0,16.0
Choco,841.0,167.0,23.0
Cordoba,311.0,88.0,17.0
Cundinamarca,1787.0,562.0,42.0
Guainia,7.0,2.0,1.0
Guaviare,7.0,0.0,0.0
Huila,282.0,235.0,9.0
La Guajira,158.0,51.0,7.0
Magdalena,1027.0,490.0,65.0
Meta,1032.0,942.0,11.0
Narino,2222.0,760.0,80.0
Putumayo,16.0,8.0,3.0
Quindío,131.0,102.0,4.0
Risaralda,333.0,239.0,11.0
San Andres y Providencia,20.0,17.0,0.0
Santander,459.0,171.0,23.0
Sucre,300.0,21.0,11.0
Tolima,472.0,227.0,15.0
Valle del Cauca,6516.0,2325.0,279.0
Vaupes,27.0,11.0,0.0
Vichada,1.0,1.0,0.0
