Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2714.0,2582.0,111.0,21.0
Antioquia,89759.0,72916.0,1936.0,14907.0
Arauca,1093.0,833.0,22.0,238.0
Atlantico,65111.0,60064.0,2954.0,2093.0
Bogota,227979.0,168405.0,5865.0,53709.0
Bolivar,26015.0,23952.0,728.0,1335.0
Boyaca,4625.0,3108.0,92.0,1425.0
Caldas,3465.0,2250.0,76.0,1139.0
Caqueta,6897.0,5417.0,228.0,1252.0
Casanare,1294.0,876.0,30.0,388.0
Cauca,6410.0,4419.0,186.0,1805.0
Cesar,13010.0,8857.0,370.0,3783.0
Choco,3789.0,3519.0,144.0,126.0
Cordoba,21140.0,17438.0,1413.0,2289.0
Cundinamarca,26241.0,20375.0,758.0,5108.0
Guainia,277.0,57.0,6.0,214.0
Guaviare,352.0,268.0,4.0,80.0
Huila,6507.0,4446.0,191.0,1870.0
La Guajira,5934.0,4542.0,249.0,1143.0
Magdalena,13145.0,10915.0,735.0,1495.0
Meta,11200.0,8329.0,278.0,2593.0
Narino,15271.0,12533.0,571.0,2167.0
Norte de Santander,12880.0,9915.0,728.0,2237.0
Putumayo,3247.0,2599.0,142.0,506.0
Quindio,1655.0,996.0,49.0,610.0
Risaralda,7311.0,5144.0,142.0,2025.0
San Andres y Providencia,372.0,146.0,5.0,221.0
Santander,21962.0,15274.0,947.0,5741.0
Sucre,12543.0,10895.0,533.0,1115.0
Tolima,8581.0,6068.0,214.0,2299.0
Valle del Cauca,50419.0,41774.0,1904.0,6741.0
Vaupes,448.0,267.0,1.0,180.0
Vichada,202.0,100.0,3.0,99.0
