Departamento,confirmado
Bogota,2408.0
Valle del Cauca,881.0
Antioquia,463.0
Bolivar,257.0
Huila,101.0
Meta,355.0
Risaralda,191.0
Santander,109.0
Caldas,56.0
Cundinamarca,215.0
Atlantico,236.0
Quindio,60.0
Tolima,62.0
Cauca,34.0
Magdalena,166.0
Cesar,55.0
San Andres y Providencia,6.0
Casanare,16.0
Narino,113.0
Boyaca,37.0
Cordoba,26.0
Sucre,1.0
La Guajira,5.0
Choco,12.0
Amazonas,77.0
Caqueta,7.0
