id_estado,confirmado,defunciones,estado
15,7570.0,667.0,Mexico
27,2177.0,278.0,Tabasco
2,3040.0,514.0,Baja California
9,12456.0,997.0,Ciudad de Mexico
25,1814.0,259.0,Sinaloa
31,1025.0,67.0,Yucatan
30,1700.0,224.0,Veracruz
17,1021.0,143.0,Morelos
22,361.0,28.0,Queretaro
7,533.0,39.0,Chiapas
23,1257.0,234.0,Quintana Roo
19,776.0,48.0,Nuevo Leon
13,748.0,131.0,Hidalgo
14,767.0,70.0,Jalisco
29,509.0,83.0,Tlaxcala
28,890.0,53.0,Tamaulipas
12,743.0,105.0,Guerrero
21,1338.0,184.0,Puebla
11,658.0,61.0,Guanajuato
18,287.0,25.0,Nayarit
1,443.0,17.0,Aguascalientes
3,439.0,26.0,Baja California Sur
8,874.0,183.0,Chihuahua
26,757.0,42.0,Sonora
5,644.0,54.0,Coahuila
32,181.0,22.0,Zacatecas
20,369.0,64.0,Oaxaca
16,768.0,75.0,Michoacan
4,280.0,31.0,Campeche
6,58.0,7.0,Colima
10,150.0,16.0,Durango
24,399.0,20.0,San Luis Potosi
