Departamento,confirmado,recuperados,defunciones
Amazonas,2204.0,1639.0,84.0
Antioquia,2921.0,1048.0,14.0
Arauca,61.0,2.0,0.0
Atlantico,15479.0,4044.0,643.0
Bogota,20709.0,9100.0,482.0
Bolivar,6753.0,2814.0,262.0
Boyaca,301.0,193.0,11.0
Caldas,218.0,140.0,7.0
Caqueta,30.0,22.0,1.0
Casanare,55.0,34.0,0.0
Cauca,252.0,103.0,10.0
Cesar,702.0,152.0,21.0
Choco,982.0,234.0,31.0
Cordoba,441.0,108.0,23.0
Cundinamarca,1996.0,863.0,46.0
Guainia,14.0,2.0,1.0
Guaviare,10.0,0.0,0.0
Huila,307.0,237.0,9.0
La Guajira,214.0,57.0,8.0
Magdalena,1277.0,568.0,84.0
Meta,1100.0,953.0,13.0
Narino,2625.0,1134.0,87.0
Putumayo,17.0,9.0,4.0
Quindío,147.0,105.0,4.0
Risaralda,421.0,251.0,11.0
San Andres y Providencia,23.0,17.0,0.0
Santander,706.0,216.0,24.0
Sucre,536.0,45.0,19.0
Tolima,598.0,254.0,16.0
Valle del Cauca,7525.0,3004.0,322.0
Vaupes,27.0,11.0,0.0
Vichada,1.0,1.0,0.0
