Departamento,confirmado,recuperados,defunciones
Amazonas,1954.0,858.0,69.0
Antioquia,1360.0,552.0,6.0
Arauca,2.0,1.0,0.0
Atlantico,5808.0,1543.0,167.0
Bogota,12185.0,4895.0,294.0
Bolivar,3858.0,1011.0,170.0
Boyaca,221.0,115.0,8.0
Caldas,164.0,116.0,6.0
Caqueta,24.0,19.0,1.0
Casanare,36.0,26.0,0.0
Cauca,135.0,60.0,5.0
Cesar,415.0,63.0,11.0
Choco,395.0,53.0,9.0
Cordoba,195.0,64.0,9.0
Cundinamarca,1141.0,327.0,27.0
Guainia,6.0,0.0,0.0
Huila,253.0,211.0,9.0
La Guajira,72.0,38.0,4.0
Magdalena,735.0,315.0,44.0
Meta,987.0,926.0,10.0
Narino,1431.0,358.0,58.0
Putumayo,11.0,3.0,2.0
Quindío,120.0,87.0,3.0
Risaralda,268.0,227.0,9.0
San Andres y Providencia,17.0,15.0,0.0
Santander,264.0,153.0,17.0
Sucre,81.0,5.0,0.0
Tolima,279.0,156.0,7.0
Valle del Cauca,4206.0,1430.0,200.0
Vaupes,11.0,11.0,0.0
Vichada,1.0,0.0,0.0
