Departamento,confirmado
Bogota,2846.0
Valle del Cauca,1057.0
Antioquia,477.0
Bolivar,334.0
Huila,133.0
Meta,479.0
Risaralda,208.0
Santander,124.0
Caldas,80.0
Cundinamarca,235.0
Atlantico,414.0
Quindio,60.0
Tolima,88.0
Cauca,35.0
Magdalena,230.0
Cesar,58.0
San Andres y Providencia,6.0
Casanare,18.0
Narino,157.0
Boyaca,47.0
Cordoba,29.0
Sucre,1.0
La Guajira,9.0
Choco,15.0
Amazonas,136.0
Caqueta,9.0
