Departamento,confirmado,recuperados,defunciones
Amazonas,2091.0,1209.0,75.0
Antioquia,1782.0,703.0,8.0
Arauca,2.0,1.0,0.0
Atlantico,8597.0,2596.0,346.0
Bogota,14940.0,6429.0,359.0
Bolivar,4755.0,1577.0,202.0
Boyaca,236.0,144.0,9.0
Caldas,191.0,125.0,7.0
Caqueta,25.0,21.0,1.0
Casanare,37.0,33.0,0.0
Cauca,169.0,71.0,8.0
Cesar,504.0,72.0,13.0
Choco,582.0,125.0,15.0
Cordoba,248.0,71.0,13.0
Cundinamarca,1576.0,460.0,37.0
Guainia,7.0,0.0,1.0
Guaviare,2.0,0.0,0.0
Huila,267.0,227.0,9.0
La Guajira,115.0,47.0,7.0
Magdalena,850.0,425.0,53.0
Meta,1010.0,939.0,11.0
Narino,2057.0,672.0,71.0
Putumayo,12.0,3.0,2.0
Quindío,124.0,96.0,4.0
Risaralda,308.0,234.0,11.0
San Andres y Providencia,18.0,17.0,0.0
Santander,359.0,162.0,22.0
Sucre,196.0,6.0,4.0
Tolima,343.0,207.0,11.0
Valle del Cauca,5443.0,2032.0,246.0
Vaupes,11.0,11.0,0.0
Vichada,1.0,0.0,0.0
