Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2681.0,2515.0,107.0,59.0
Antioquia,69615.0,48462.0,1384.0,19769.0
Arauca,751.0,409.0,11.0,331.0
Atlantico,62571.0,54081.0,2829.0,5661.0
Bogota,186041.0,115382.0,4855.0,65804.0
Bolivar,23344.0,19642.0,663.0,3039.0
Boyaca,2899.0,1415.0,60.0,1424.0
Caldas,2232.0,1120.0,31.0,1081.0
Caqueta,4716.0,2724.0,155.0,1837.0
Casanare,835.0,472.0,18.0,345.0
Cauca,3993.0,2369.0,131.0,1493.0
Cesar,7777.0,4059.0,183.0,3535.0
Choco,3594.0,3094.0,128.0,372.0
Cordoba,16896.0,10409.0,1070.0,5417.0
Cundinamarca,18791.0,11819.0,527.0,6445.0
Guainia,28.0,13.0,2.0,13.0
Guaviare,218.0,166.0,0.0,52.0
Huila,3371.0,1659.0,87.0,1625.0
La Guajira,4320.0,2795.0,200.0,1325.0
Magdalena,11149.0,7767.0,588.0,2794.0
Meta,6554.0,4182.0,131.0,2241.0
Narino,12554.0,9155.0,443.0,2956.0
Norte de Santander,8793.0,4740.0,491.0,3562.0
Putumayo,2369.0,1398.0,113.0,858.0
Quindio,863.0,471.0,22.0,370.0
Risaralda,4640.0,2341.0,76.0,2223.0
San Andres y Providencia,123.0,51.0,0.0,72.0
Santander,12867.0,6639.0,529.0,5699.0
Sucre,10246.0,7240.0,445.0,2561.0
Tolima,5431.0,3361.0,145.0,1925.0
Valle del Cauca,42619.0,29749.0,1542.0,11328.0
Vaupes,201.0,88.0,1.0,112.0
Vichada,21.0,5.0,1.0,15.0
