id_estado,confirmado,estado
2,1989.0,Baja California
9,6999.0,Ciudad de Mexico
20,185.0,Oaxaca
6,31.0,Colima
31,648.0,Yucatan
5,489.0,Coahuila
15,4353.0,Mexico
21,880.0,Puebla
1,289.0,Aguascalientes
3,351.0,Baja California Sur
23,955.0,Quintana Roo
32,113.0,Zacatecas
17,554.0,Morelos
26,307.0,Sonora
11,329.0,Guanajuato
8,581.0,Chihuahua
29,261.0,Tlaxcala
7,241.0,Chiapas
10,80.0,Durango
24,167.0,San Luis Potosi
18,133.0,Nayarit
22,167.0,Queretaro
25,1195.0,Sinaloa
16,394.0,Michoacan
12,388.0,Guerrero
14,469.0,Jalisco
30,836.0,Veracruz
13,374.0,Hidalgo
19,469.0,Nuevo Leon
28,396.0,Tamaulipas
27,1277.0,Tabasco
4,125.0,Campeche
