Departamento,confirmado,recuperados,defunciones
ANTIOQUIA,1.0,0.0,0.0
Amazonas,2171.0,1354.0,78.0
Antioquia,2272.0,809.0,11.0
Arauca,46.0,2.0,0.0
Atlantico,11424.0,2839.0,451.0
Bogota,16839.0,6953.0,413.0
Bolivar,5423.0,1748.0,220.0
Boyaca,256.0,165.0,9.0
Caldas,205.0,130.0,7.0
Caqueta,28.0,21.0,1.0
Casanare,38.0,33.0,0.0
Cauca,197.0,74.0,9.0
Cesar,560.0,89.0,16.0
Choco,823.0,173.0,21.0
Cordoba,303.0,84.0,17.0
Cundinamarca,1759.0,527.0,42.0
Guainia,7.0,2.0,1.0
Guaviare,6.0,0.0,0.0
Huila,281.0,236.0,9.0
La Guajira,148.0,51.0,7.0
Magdalena,996.0,457.0,64.0
Meta,1027.0,941.0,11.0
Narino,2205.0,743.0,77.0
Putumayo,14.0,5.0,3.0
Quindío,129.0,102.0,4.0
Risaralda,325.0,235.0,11.0
San Andres y Providencia,20.0,17.0,0.0
Santander,432.0,165.0,23.0
Sucre,272.0,16.0,11.0
Tolima,407.0,222.0,15.0
Valle del Cauca,6289.0,2161.0,270.0
Vaupes,27.0,11.0,0.0
Vichada,1.0,1.0,0.0
