Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2470.0,2285.0,101.0,84.0
Antioquia,20613.0,5483.0,275.0,14855.0
Arauca,174.0,104.0,1.0,69.0
Atlantico,46595.0,28788.0,2295.0,15512.0
Bogota,74599.0,29333.0,1905.0,43361.0
Bolivar,15943.0,10720.0,520.0,4703.0
Boyaca,718.0,371.0,23.0,324.0
Caldas,551.0,256.0,7.0,288.0
Caqueta,485.0,54.0,8.0,423.0
Casanare,199.0,87.0,3.0,109.0
Cauca,1393.0,488.0,40.0,865.0
Cesar,2309.0,1221.0,44.0,1044.0
Choco,2761.0,1681.0,83.0,997.0
Cordoba,3344.0,861.0,381.0,2102.0
Cundinamarca,6513.0,3118.0,156.0,3239.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,52.0,43.0,0.0,9.0
Huila,625.0,362.0,18.0,245.0
La Guajira,1673.0,625.0,95.0,953.0
Magdalena,4771.0,2154.0,293.0,2324.0
Meta,2121.0,1414.0,26.0,681.0
Narino,6292.0,3438.0,186.0,2668.0
Norte de Santander,1254.0,334.0,51.0,869.0
Putumayo,460.0,20.0,19.0,421.0
Quindio,226.0,173.0,6.0,47.0
Risaralda,1170.0,568.0,24.0,578.0
San Andres y Providencia,33.0,24.0,0.0,9.0
Santander,2254.0,801.0,58.0,1395.0
Sucre,4851.0,1679.0,276.0,2896.0
Tolima,1926.0,1143.0,37.0,746.0
Valle del Cauca,19921.0,10280.0,755.0,8886.0
Vaupes,61.0,29.0,1.0,31.0
Vichada,2.0,1.0,0.0,1.0
