id_estado,estado,confirmado,defunciones
27,Tabasco,4807.0,593.0
25,Sinaloa,3903.0,618.0
9,Ciudad de Mexico,27326.0,2660.0
15,Mexico,16320.0,1897.0
12,Guerrero,2134.0,314.0
1,Aguascalientes,939.0,35.0
2,Baja California,5460.0,1010.0
23,Quintana Roo,2010.0,393.0
19,Nuevo Leon,1626.0,105.0
21,Puebla,3446.0,421.0
31,Yucatan,1961.0,190.0
26,Sonora,2467.0,155.0
7,Chiapas,2039.0,169.0
28,Tamaulipas,1793.0,117.0
30,Veracruz,4367.0,666.0
14,Jalisco,2136.0,177.0
22,Queretaro,1017.0,113.0
29,Tlaxcala,1151.0,149.0
13,Hidalgo,2011.0,346.0
5,Coahuila,1254.0,89.0
18,Nayarit,654.0,75.0
11,Guanajuato,2009.0,122.0
6,Colima,170.0,25.0
17,Morelos,1464.0,282.0
3,Baja California Sur,698.0,37.0
20,Oaxaca,1771.0,201.0
16,Michoacan,2121.0,193.0
10,Durango,470.0,43.0
8,Chihuahua,1731.0,359.0
32,Zacatecas,322.0,40.0
4,Campeche,635.0,77.0
24,San Luis Potosi,1026.0,57.0
