id_estado,confirmado,estado
17,430.0,Morelos
9,6417.0,Ciudad de Mexico
2,1660.0,Baja California
3,339.0,Baja California Sur
26,266.0,Sonora
11,308.0,Guanajuato
24,146.0,San Luis Potosi
15,3893.0,Mexico
1,265.0,Aguascalientes
21,806.0,Puebla
6,29.0,Colima
20,166.0,Oaxaca
31,588.0,Yucatan
5,453.0,Coahuila
7,227.0,Chiapas
32,99.0,Zacatecas
10,75.0,Durango
16,369.0,Michoacan
8,512.0,Chihuahua
22,157.0,Queretaro
25,1119.0,Sinaloa
29,238.0,Tlaxcala
23,911.0,Quintana Roo
18,115.0,Nayarit
14,417.0,Jalisco
13,312.0,Hidalgo
12,342.0,Guerrero
30,705.0,Veracruz
19,418.0,Nuevo Leon
27,1196.0,Tabasco
28,380.0,Tamaulipas
4,113.0,Campeche
