Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2691.0,2539.0,107.0,45.0
Antioquia,72915.0,53243.0,1493.0,18179.0
Arauca,784.0,502.0,14.0,268.0
Atlantico,63255.0,55563.0,2851.0,4841.0
Bogota,195137.0,128820.0,5084.0,61233.0
Bolivar,24158.0,20766.0,685.0,2707.0
Boyaca,3347.0,1645.0,62.0,1640.0
Caldas,2474.0,1325.0,41.0,1108.0
Caqueta,5179.0,3220.0,173.0,1786.0
Casanare,914.0,536.0,20.0,358.0
Cauca,4408.0,2714.0,143.0,1551.0
Cesar,8385.0,4824.0,222.0,3339.0
Choco,3675.0,3146.0,134.0,395.0
Cordoba,18187.0,12140.0,1110.0,4937.0
Cundinamarca,20539.0,13400.0,569.0,6570.0
Guainia,74.0,15.0,2.0,57.0
Guaviare,237.0,187.0,1.0,49.0
Huila,3891.0,2055.0,93.0,1743.0
La Guajira,4608.0,3149.0,210.0,1249.0
Magdalena,11624.0,8544.0,622.0,2458.0
Meta,7535.0,4728.0,153.0,2654.0
Narino,13177.0,9956.0,465.0,2756.0
Norte de Santander,9548.0,5676.0,542.0,3330.0
Putumayo,2599.0,1678.0,121.0,800.0
Quindio,1008.0,541.0,29.0,438.0
Risaralda,5235.0,2783.0,83.0,2369.0
San Andres y Providencia,172.0,62.0,0.0,110.0
Santander,14752.0,7857.0,619.0,6276.0
Sucre,10858.0,8001.0,462.0,2395.0
Tolima,6103.0,3784.0,155.0,2164.0
Valle del Cauca,44394.0,31960.0,1622.0,10812.0
Vaupes,229.0,99.0,1.0,129.0
Vichada,36.0,12.0,1.0,23.0
