Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2693.0,2542.0,107.0,44.0
Antioquia,74796.0,54702.0,1533.0,18561.0
Arauca,788.0,524.0,14.0,250.0
Atlantico,63430.0,55955.0,2852.0,4623.0
Bogota,199324.0,132641.0,5160.0,61523.0
Bolivar,24376.0,21051.0,688.0,2637.0
Boyaca,3395.0,1735.0,64.0,1596.0
Caldas,2547.0,1400.0,41.0,1106.0
Caqueta,5206.0,3463.0,177.0,1566.0
Casanare,930.0,575.0,21.0,334.0
Cauca,4542.0,2823.0,143.0,1576.0
Cesar,8770.0,5013.0,233.0,3524.0
Choco,3682.0,3175.0,135.0,372.0
Cordoba,18335.0,12857.0,1144.0,4334.0
Cundinamarca,20788.0,13939.0,590.0,6259.0
Guainia,88.0,15.0,2.0,71.0
Guaviare,238.0,193.0,1.0,44.0
Huila,4050.0,2212.0,99.0,1739.0
La Guajira,4631.0,3269.0,213.0,1149.0
Magdalena,11707.0,8773.0,626.0,2308.0
Meta,7650.0,5100.0,158.0,2392.0
Narino,13392.0,10174.0,468.0,2750.0
Norte de Santander,10075.0,6057.0,563.0,3455.0
Putumayo,2611.0,1722.0,125.0,764.0
Quindio,1021.0,568.0,29.0,424.0
Risaralda,5396.0,2956.0,86.0,2354.0
San Andres y Providencia,172.0,71.0,1.0,100.0
Santander,15424.0,8478.0,643.0,6303.0
Sucre,10999.0,8294.0,467.0,2238.0
Tolima,6238.0,3975.0,159.0,2104.0
Valle del Cauca,44694.0,32756.0,1640.0,10298.0
Vaupes,234.0,101.0,1.0,132.0
Vichada,48.0,12.0,1.0,35.0
