estado,confirmado,poblacion
Aguascalientes,146,1434635
Baja California,1156,3634868
Baja California Sur,247,804708
Campeche,60,1000617
Coahuila,317,3218720
Colima,16,785153
Chiapas,104,5730367
Chihuahua,212,3801487
Ciudad de Mexico,3532,9018645
Durango,40,1868996
Guanajuato,193,6228175
Guerrero,171,3657048
Hidalgo,155,3086414
Jalisco,263,8409693
Mexico,1992,17427790
Michoacan,177,4825401
Morelos,146,2044058
Nayarit,56,1288571
Nuevo Leon,260,5610153
Oaxaca,89,4143593
Puebla,454,6604451
Queretaro,103,2279637
Quintana Roo,519,1723259
San Luis Potosi,72,2866142
Sinaloa,690,3156674
Sonora,150,3074745
Tabasco,649,2572287
Tamaulipas,204,3650602
Tlaxcala,112,1380011
Veracruz,288,8539862
Yucatan,248,2259098
Zacatecas,51,1666426
