Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2687.0,2518.0,107.0,62.0
Antioquia,71158.0,49952.0,1417.0,19789.0
Arauca,764.0,425.0,13.0,326.0
Atlantico,62804.0,54557.0,2832.0,5415.0
Bogota,188220.0,122221.0,4951.0,61048.0
Bolivar,23471.0,20214.0,679.0,2578.0
Boyaca,3091.0,1473.0,60.0,1558.0
Caldas,2301.0,1165.0,38.0,1098.0
Caqueta,4836.0,2968.0,160.0,1708.0
Casanare,856.0,499.0,18.0,339.0
Cauca,4190.0,2469.0,132.0,1589.0
Cesar,7889.0,4351.0,200.0,3338.0
Choco,3630.0,3115.0,130.0,385.0
Cordoba,17156.0,10974.0,1089.0,5093.0
Cundinamarca,19168.0,12275.0,539.0,6354.0
Guainia,42.0,14.0,2.0,26.0
Guaviare,236.0,174.0,0.0,62.0
Huila,3530.0,1806.0,90.0,1634.0
La Guajira,4349.0,2911.0,203.0,1235.0
Magdalena,11225.0,8034.0,596.0,2595.0
Meta,6734.0,4387.0,139.0,2208.0
Narino,12746.0,9454.0,449.0,2843.0
Norte de Santander,8988.0,5112.0,514.0,3362.0
Putumayo,2405.0,1496.0,116.0,793.0
Quindio,907.0,484.0,25.0,398.0
Risaralda,4807.0,2451.0,77.0,2279.0
San Andres y Providencia,123.0,53.0,0.0,70.0
Santander,13687.0,7053.0,563.0,6071.0
Sucre,10357.0,7530.0,449.0,2378.0
Tolima,5555.0,3431.0,148.0,1976.0
Valle del Cauca,42998.0,30361.0,1578.0,11059.0
Vaupes,208.0,92.0,1.0,115.0
Vichada,29.0,11.0,1.0,17.0
