id_estado,estado,confirmado,defunciones
15,Mexico,42372.0,6594.0
27,Tabasco,14958.0,1384.0
9,Ciudad de Mexico,57674.0,6278.0
30,Veracruz,13782.0,1998.0
2,Baja California,10881.0,2191.0
25,Sinaloa,10103.0,1634.0
13,Hidalgo,4812.0,756.0
14,Jalisco,9201.0,1013.0
19,Nuevo Leon,9747.0,526.0
28,Tamaulipas,8845.0,572.0
7,Chiapas,5201.0,780.0
8,Chihuahua,3802.0,729.0
23,Quintana Roo,5237.0,699.0
17,Morelos,3360.0,741.0
26,Sonora,11576.0,1164.0
3,Baja California Sur,2415.0,101.0
31,Yucatan,6215.0,573.0
12,Guerrero,7471.0,1091.0
1,Aguascalientes,2905.0,178.0
11,Guanajuato,12285.0,589.0
22,Queretaro,2494.0,341.0
21,Puebla,14246.0,1745.0
32,Zacatecas,1394.0,139.0
16,Michoacan,7112.0,565.0
20,Oaxaca,7736.0,736.0
10,Durango,2771.0,185.0
5,Coahuila,7107.0,360.0
29,Tlaxcala,3336.0,467.0
18,Nayarit,2390.0,248.0
6,Colima,898.0,95.0
4,Campeche,2931.0,276.0
24,San Luis Potosi,4493.0,258.0
