Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2418.0,2186.0,100.0,132.0
Antioquia,9253.0,2884.0,92.0,6277.0
Arauca,141.0,26.0,0.0,115.0
Atlantico,33700.0,14421.0,1868.0,17411.0
Bogota,49644.0,17866.0,1123.0,30655.0
Bolivar,12206.0,6845.0,447.0,4914.0
Boyaca,492.0,278.0,14.0,200.0
Caldas,303.0,221.0,7.0,75.0
Caqueta,112.0,23.0,2.0,87.0
Casanare,118.0,58.0,1.0,59.0
Cauca,771.0,225.0,28.0,518.0
Cesar,1505.0,840.0,34.0,631.0
Choco,2197.0,992.0,71.0,1134.0
Cordoba,1595.0,360.0,172.0,1063.0
Cundinamarca,4197.0,2028.0,95.0,2074.0
Guainia,14.0,11.0,1.0,2.0
Guaviare,42.0,35.0,0.0,7.0
Huila,424.0,321.0,13.0,90.0
La Guajira,928.0,188.0,51.0,689.0
Magdalena,2815.0,1072.0,203.0,1540.0
Meta,1598.0,1080.0,17.0,501.0
Narino,4535.0,2685.0,140.0,1710.0
Norte de Santander,599.0,224.0,26.0,349.0
Putumayo,95.0,11.0,9.0,75.0
Quindio,195.0,142.0,5.0,48.0
Risaralda,745.0,385.0,20.0,340.0
San Andres y Providencia,29.0,21.0,0.0,8.0
Santander,1329.0,371.0,25.0,933.0
Sucre,2523.0,432.0,155.0,1936.0
Tolima,1470.0,534.0,27.0,909.0
Valle del Cauca,14422.0,6664.0,560.0,7198.0
Vaupes,29.0,21.0,1.0,7.0
Vichada,1.0,1.0,0.0,0.0
