Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2742.0,2613.0,117.0,12.0
Antioquia,112470.0,99922.0,2337.0,10211.0
Arauca,1689.0,1427.0,44.0,218.0
Atlantico,67317.0,63036.0,3062.0,1219.0
Bogota,264274.0,232255.0,6714.0,25305.0
Bolivar,28590.0,27088.0,766.0,736.0
Boyaca,7015.0,5568.0,144.0,1303.0
Caldas,5663.0,4307.0,125.0,1231.0
Caqueta,8429.0,7115.0,296.0,1018.0
Casanare,2211.0,1570.0,46.0,595.0
Cauca,9223.0,7558.0,257.0,1408.0
Cesar,19460.0,15580.0,565.0,3315.0
Choco,3990.0,3729.0,155.0,106.0
Cordoba,23691.0,20855.0,1526.0,1310.0
Cundinamarca,32981.0,28706.0,973.0,3302.0
Guainia,767.0,626.0,12.0,129.0
Guaviare,772.0,606.0,13.0,153.0
Huila,11281.0,8799.0,344.0,2138.0
La Guajira,7987.0,6937.0,297.0,753.0
Magdalena,15105.0,13299.0,822.0,984.0
Meta,15733.0,13658.0,404.0,1671.0
Narino,18177.0,15993.0,675.0,1509.0
Norte de Santander,15506.0,13267.0,880.0,1359.0
Putumayo,3733.0,3255.0,169.0,309.0
Quindio,3369.0,2416.0,96.0,857.0
Risaralda,10953.0,9027.0,237.0,1689.0
San Andres y Providencia,1138.0,741.0,14.0,383.0
Santander,30413.0,24722.0,1271.0,4420.0
Sucre,13999.0,12864.0,575.0,560.0
Tolima,12064.0,10244.0,319.0,1501.0
Valle del Cauca,61081.0,52578.0,2220.0,6283.0
Vaupes,754.0,667.0,9.0,78.0
Vichada,479.0,444.0,4.0,31.0
