Departamento,confirmado,recuperados,defunciones
Amazonas,1450.0,68.0,51.0
Antioquia,720.0,379.0,6.0
Arauca,1.0,0.0,0.0
Atlantico,2774.0,245.0,70.0
Bogota,7211.0,1890.0,206.0
Bolivar,2267.0,303.0,105.0
Boyaca,159.0,54.0,5.0
Caldas,128.0,74.0,5.0
Caqueta,21.0,6.0,1.0
Casanare,26.0,14.0,0.0
Cauca,74.0,36.0,4.0
Cesar,90.0,54.0,11.0
Choco,93.0,12.0,4.0
Cordoba,91.0,20.0,5.0
Cundinamarca,466.0,193.0,14.0
Huila,233.0,138.0,9.0
La Guajira,48.0,12.0,3.0
Magdalena,492.0,147.0,33.0
Meta,968.0,93.0,8.0
Narino,709.0,77.0,31.0
Putumayo,3.0,0.0,0.0
Quindío,89.0,65.0,2.0
Risaralda,242.0,202.0,8.0
San Andres y Providencia,14.0,6.0,0.0
Santander,177.0,115.0,15.0
Sucre,5.0,1.0,0.0
Tolima,188.0,96.0,7.0
Valle del Cauca,2425.0,716.0,124.0
Vaupes,11.0,0.0,0.0
