Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2506.0,2309.0,101.0,96.0
Antioquia,26117.0,7378.0,363.0,18376.0
Arauca,181.0,124.0,1.0,56.0
Atlantico,49037.0,33900.0,2413.0,12724.0
Bogota,86857.0,37916.0,2307.0,46634.0
Bolivar,16883.0,12090.0,551.0,4242.0
Boyaca,820.0,430.0,26.0,364.0
Caldas,723.0,273.0,9.0,441.0
Caqueta,678.0,97.0,12.0,569.0
Casanare,252.0,111.0,4.0,137.0
Cauca,1624.0,637.0,52.0,935.0
Cesar,2636.0,1398.0,52.0,1186.0
Choco,2861.0,1925.0,95.0,841.0
Cordoba,4504.0,1289.0,488.0,2727.0
Cundinamarca,7241.0,3725.0,187.0,3329.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,80.0,47.0,0.0,33.0
Huila,721.0,391.0,18.0,312.0
La Guajira,1888.0,894.0,105.0,889.0
Magdalena,5397.0,2746.0,320.0,2331.0
Meta,2313.0,1555.0,30.0,728.0
Narino,7090.0,3840.0,210.0,3040.0
Norte de Santander,1785.0,422.0,70.0,1293.0
Putumayo,759.0,43.0,24.0,692.0
Quindio,267.0,195.0,6.0,66.0
Risaralda,1349.0,657.0,25.0,667.0
San Andres y Providencia,35.0,28.0,0.0,7.0
Santander,2797.0,1058.0,68.0,1671.0
Sucre,5440.0,2286.0,346.0,2808.0
Tolima,2173.0,1276.0,37.0,860.0
Valle del Cauca,22010.0,12058.0,855.0,9097.0
Vaupes,61.0,49.0,1.0,11.0
Vichada,2.0,1.0,0.0,1.0
