Departamento,confirmado,recuperados,defunciones
Amazonas,2211.0,1771.0,84.0
Antioquia,3098.0,1187.0,16.0
Arauca,72.0,2.0,0.0
Atlantico,16871.0,4721.0,725.0
Bogota,22409.0,10044.0,512.0
Bolivar,7237.0,3173.0,271.0
Boyaca,313.0,197.0,11.0
Caldas,237.0,147.0,7.0
Caqueta,29.0,22.0,1.0
Casanare,58.0,35.0,0.0
Cauca,273.0,115.0,13.0
Cesar,733.0,225.0,21.0
Choco,1030.0,271.0,32.0
Cordoba,467.0,119.0,26.0
Cundinamarca,2128.0,1012.0,48.0
Guainia,14.0,2.0,1.0
Guaviare,10.0,0.0,0.0
Huila,314.0,240.0,9.0
La Guajira,231.0,60.0,10.0
Magdalena,1325.0,591.0,89.0
Meta,1137.0,958.0,13.0
Narino,2715.0,1296.0,92.0
Norte de Santander,256.0,118.0,15.0
Putumayo,19.0,9.0,4.0
Quindio,151.0,109.0,4.0
Risaralda,436.0,252.0,11.0
San Andres y Providencia,23.0,17.0,0.0
Santander,499.0,122.0,12.0
Sucre,643.0,54.0,21.0
Tolima,690.0,267.0,17.0
Valle del Cauca,7914.0,3311.0,339.0
Vaupes,28.0,11.0,0.0
Vichada,1.0,1.0,0.0
