Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2513.0,2350.0,104.0,59.0
Antioquia,40927.0,13170.0,625.0,27132.0
Arauca,246.0,152.0,4.0,90.0
Atlantico,54434.0,40553.0,2586.0,11295.0
Bogota,111294.0,53395.0,3052.0,54847.0
Bolivar,19209.0,14151.0,603.0,4455.0
Boyaca,1212.0,539.0,32.0,641.0
Caldas,1037.0,321.0,14.0,702.0
Caqueta,1515.0,255.0,33.0,1227.0
Casanare,351.0,144.0,6.0,201.0
Cauca,2131.0,924.0,69.0,1138.0
Cesar,3542.0,1713.0,73.0,1756.0
Choco,3069.0,2269.0,105.0,695.0
Cordoba,6941.0,2216.0,727.0,3998.0
Cundinamarca,10032.0,5112.0,267.0,4653.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,115.0,55.0,0.0,60.0
Huila,1128.0,477.0,27.0,624.0
La Guajira,2324.0,1268.0,131.0,925.0
Magdalena,7063.0,3789.0,376.0,2898.0
Meta,3024.0,1898.0,42.0,1084.0
Narino,8431.0,4927.0,274.0,3230.0
Norte de Santander,2819.0,835.0,139.0,1845.0
Putumayo,1128.0,212.0,47.0,869.0
Quindio,402.0,210.0,8.0,184.0
Risaralda,2057.0,824.0,34.0,1199.0
San Andres y Providencia,44.0,30.0,0.0,14.0
Santander,4434.0,1529.0,137.0,2768.0
Sucre,6326.0,3405.0,381.0,2540.0
Tolima,2900.0,1651.0,61.0,1188.0
Valle del Cauca,27120.0,15280.0,1058.0,10782.0
Vaupes,61.0,59.0,1.0,1.0
Vichada,7.0,1.0,0.0,6.0
