Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2725.0,2589.0,115.0,21.0
Antioquia,94447.0,81502.0,2053.0,10892.0
Arauca,1264.0,1001.0,26.0,237.0
Atlantico,65726.0,61181.0,2974.0,1571.0
Bogota,238334.0,192696.0,6132.0,39506.0
Bolivar,26842.0,24815.0,738.0,1289.0
Boyaca,5123.0,3919.0,102.0,1102.0
Caldas,3884.0,2815.0,84.0,985.0
Caqueta,7249.0,6218.0,256.0,775.0
Casanare,1509.0,1071.0,32.0,406.0
Cauca,7186.0,5662.0,208.0,1316.0
Cesar,15319.0,11249.0,424.0,3646.0
Choco,3859.0,3563.0,147.0,149.0
Cordoba,22024.0,18860.0,1447.0,1717.0
Cundinamarca,28190.0,23532.0,813.0,3845.0
Guainia,342.0,190.0,9.0,143.0
Guaviare,457.0,307.0,4.0,146.0
Huila,7635.0,5540.0,224.0,1871.0
La Guajira,6510.0,5276.0,259.0,975.0
Magdalena,13779.0,11693.0,759.0,1327.0
Meta,12333.0,10169.0,314.0,1850.0
Narino,15997.0,13618.0,604.0,1775.0
Norte de Santander,13525.0,11073.0,793.0,1659.0
Putumayo,3348.0,2879.0,149.0,320.0
Quindio,2009.0,1325.0,58.0,626.0
Risaralda,8237.0,6370.0,170.0,1697.0
San Andres y Providencia,482.0,243.0,7.0,232.0
Santander,24215.0,18470.0,1047.0,4698.0
Sucre,13078.0,11620.0,542.0,916.0
Tolima,9502.0,7477.0,236.0,1789.0
Valle del Cauca,53033.0,45331.0,2002.0,5700.0
Vaupes,578.0,373.0,2.0,203.0
Vichada,223.0,193.0,4.0,26.0
