id_estado,confirmado,defunciones,estado
2,2428.0,415.0,Baja California
27,1652.0,222.0,Tabasco
25,1470.0,212.0,Sinaloa
12,531.0,74.0,Guerrero
9,9737.0,648.0,Ciudad de Mexico
28,737.0,37.0,Tamaulipas
15,5988.0,496.0,Mexico
21,1068.0,149.0,Puebla
30,1205.0,123.0,Veracruz
14,593.0,54.0,Jalisco
31,829.0,47.0,Yucatan
17,803.0,101.0,Morelos
23,1081.0,185.0,Quintana Roo
5,562.0,53.0,Coahuila
10,115.0,12.0,Durango
8,674.0,135.0,Chihuahua
32,150.0,19.0,Zacatecas
26,504.0,32.0,Sonora
19,641.0,32.0,Nuevo Leon
22,232.0,18.0,Queretaro
18,220.0,21.0,Nayarit
20,250.0,47.0,Oaxaca
6,44.0,6.0,Colima
3,387.0,22.0,Baja California Sur
11,473.0,45.0,Guanajuato
24,264.0,14.0,San Luis Potosi
13,540.0,75.0,Hidalgo
16,569.0,61.0,Michoacan
29,358.0,53.0,Tlaxcala
1,330.0,13.0,Aguascalientes
7,394.0,19.0,Chiapas
4,193.0,25.0,Campeche
