id_estado,estado,confirmado,defunciones
9,Ciudad de Mexico,87329.0,7927.0
2,Baja California,15472.0,2960.0
8,Chihuahua,6765.0,1042.0
25,Sinaloa,14776.0,2580.0
15,Mexico,62245.0,9340.0
12,Guerrero,13528.0,1576.0
14,Jalisco,16847.0,2047.0
27,Tabasco,26135.0,2358.0
23,Quintana Roo,9397.0,1245.0
30,Veracruz,26077.0,3395.0
17,Morelos,4749.0,916.0
31,Yucatan,12823.0,1158.0
26,Sonora,20280.0,2405.0
13,Hidalgo,8951.0,1350.0
28,Tamaulipas,21059.0,1564.0
19,Nuevo Leon,24408.0,1855.0
1,Aguascalientes,4914.0,326.0
5,Coahuila,18225.0,1116.0
21,Puebla,24605.0,3122.0
7,Chiapas,6090.0,1039.0
11,Guanajuato,27387.0,1404.0
22,Queretaro,5051.0,570.0
20,Oaxaca,12557.0,1170.0
6,Colima,2828.0,305.0
16,Michoacan,12663.0,1008.0
29,Tlaxcala,5690.0,878.0
18,Nayarit,4420.0,504.0
10,Durango,5427.0,375.0
4,Campeche,5204.0,699.0
24,San Luis Potosi,14622.0,882.0
32,Zacatecas,4239.0,389.0
3,Baja California Sur,6476.0,269.0
