Departamento,confirmado,recuperados,defunciones
Amazonas,2220.0,1811.0,85.0
Antioquia,3239.0,1261.0,17.0
Arauca,76.0,2.0,0.0
Atlantico,17972.0,4969.0,763.0
Bogota,23367.0,10317.0,530.0
Bolivar,7473.0,3285.0,280.0
Boyaca,328.0,199.0,11.0
Caldas,238.0,152.0,7.0
Caqueta,29.0,22.0,1.0
Casanare,61.0,35.0,0.0
Cauca,293.0,119.0,13.0
Cesar,784.0,281.0,21.0
Choco,1148.0,305.0,32.0
Cordoba,485.0,136.0,27.0
Cundinamarca,2182.0,1057.0,48.0
Guainia,14.0,2.0,1.0
Guaviare,10.0,1.0,0.0
Huila,315.0,241.0,9.0
La Guajira,251.0,61.0,11.0
Magdalena,1390.0,621.0,89.0
Meta,1159.0,958.0,13.0
Narino,2814.0,1376.0,94.0
Norte de Santander,271.0,124.0,17.0
Putumayo,19.0,9.0,6.0
Quindio,152.0,111.0,4.0
Risaralda,463.0,257.0,11.0
San Andres y Providencia,23.0,17.0,0.0
Santander,505.0,134.0,12.0
Sucre,733.0,55.0,23.0
Tolima,728.0,278.0,17.0
Valle del Cauca,8342.0,3463.0,349.0
Vaupes,28.0,11.0,0.0
Vichada,1.0,1.0,0.0
