Departamento,confirmado,recuperados,defunciones
Amazonas,2184.0,1499.0,78.0
Antioquia,2498.0,909.0,11.0
Arauca,51.0,2.0,0.0
Atlantico,13151.0,3234.0,524.0
Bogota,18179.0,7617.0,437.0
Bolivar,5842.0,2122.0,236.0
Boyaca,265.0,185.0,11.0
Caldas,207.0,132.0,7.0
Caqueta,29.0,21.0,1.0
Casanare,41.0,33.0,0.0
Cauca,215.0,79.0,9.0
Cesar,612.0,107.0,16.0
Choco,921.0,176.0,26.0
Cordoba,379.0,98.0,17.0
Cundinamarca,1854.0,635.0,43.0
Guainia,7.0,2.0,1.0
Guaviare,7.0,0.0,0.0
Huila,286.0,236.0,9.0
La Guajira,161.0,51.0,7.0
Magdalena,1121.0,515.0,68.0
Meta,1039.0,943.0,11.0
Narino,2376.0,797.0,82.0
Putumayo,16.0,8.0,4.0
Quindío,139.0,104.0,4.0
Risaralda,384.0,241.0,11.0
San Andres y Providencia,20.0,17.0,0.0
Santander,506.0,185.0,23.0
Sucre,404.0,34.0,11.0
Tolima,506.0,234.0,15.0
Valle del Cauca,6789.0,2452.0,288.0
Vaupes,27.0,11.0,0.0
Vichada,1.0,1.0,0.0
