id_estado,estado,confirmado,defunciones
15,Mexico,72941.0,10721.0
12,Guerrero,16252.0,1804.0
9,Ciudad de Mexico,109806.0,8913.0
31,Yucatan,16372.0,1402.0
8,Chihuahua,8841.0,1240.0
27,Tabasco,29814.0,2638.0
13,Hidalgo,11298.0,1733.0
25,Sinaloa,17211.0,2956.0
2,Baja California,18157.0,3331.0
30,Veracruz,30504.0,4003.0
26,Sonora,22873.0,2760.0
21,Puebla,28820.0,3738.0
23,Quintana Roo,10983.0,1516.0
28,Tamaulipas,26507.0,1916.0
19,Nuevo Leon,32965.0,2587.0
16,Michoacan,17285.0,1395.0
14,Jalisco,22843.0,2777.0
17,Morelos,5509.0,1032.0
6,Colima,4131.0,451.0
11,Guanajuato,35911.0,2556.0
18,Nayarit,5402.0,661.0
29,Tlaxcala,6843.0,1049.0
22,Queretaro,7479.0,803.0
5,Coahuila,23743.0,1596.0
20,Oaxaca,14676.0,1358.0
10,Durango,7493.0,527.0
7,Chiapas,6358.0,1073.0
4,Campeche,5761.0,776.0
1,Aguascalientes,6246.0,481.0
24,San Luis Potosi,20344.0,1385.0
32,Zacatecas,6176.0,598.0
3,Baja California Sur,8755.0,407.0
