id_estado,estado,confirmado,defunciones
27,Tabasco,5068.0,625.0
23,Quintana Roo,2116.0,411.0
19,Nuevo Leon,1758.0,111.0
15,Mexico,17815.0,2185.0
9,Ciudad de Mexico,29580.0,3013.0
8,Chihuahua,1807.0,377.0
12,Guerrero,2325.0,358.0
2,Baja California,5784.0,1186.0
21,Puebla,3804.0,509.0
14,Jalisco,2447.0,207.0
30,Veracruz,4871.0,741.0
17,Morelos,1540.0,294.0
29,Tlaxcala,1257.0,182.0
28,Tamaulipas,1952.0,130.0
5,Coahuila,1350.0,92.0
3,Baja California Sur,735.0,43.0
25,Sinaloa,4237.0,667.0
26,Sonora,2727.0,190.0
13,Hidalgo,2131.0,367.0
31,Yucatan,2059.0,205.0
22,Queretaro,1106.0,126.0
4,Campeche,688.0,86.0
6,Colima,196.0,27.0
11,Guanajuato,2278.0,135.0
16,Michoacan,2311.0,219.0
1,Aguascalientes,1072.0,46.0
7,Chiapas,2283.0,185.0
18,Nayarit,722.0,81.0
20,Oaxaca,2000.0,218.0
10,Durango,536.0,48.0
32,Zacatecas,347.0,44.0
24,San Luis Potosi,1124.0,62.0
