id_estado,confirmado,estado
15,2722.0,Mexico
9,4474.0,Ciudad de Mexico
28,295.0,Tamaulipas
30,465.0,Veracruz
17,244.0,Morelos
27,890.0,Tabasco
7,141.0,Chiapas
2,1391.0,Baja California
25,803.0,Sinaloa
21,583.0,Puebla
13,226.0,Hidalgo
26,190.0,Sonora
31,378.0,Yucatan
5,368.0,Coahuila
10,56.0,Durango
20,121.0,Oaxaca
24,85.0,San Luis Potosi
12,239.0,Guerrero
23,698.0,Quintana Roo
19,299.0,Nuevo Leon
14,316.0,Jalisco
32,68.0,Zacatecas
11,221.0,Guanajuato
3,292.0,Baja California Sur
1,167.0,Aguascalientes
29,159.0,Tlaxcala
22,123.0,Queretaro
8,314.0,Chihuahua
16,250.0,Michoacan
4,81.0,Campeche
6,26.0,Colima
18,67.0,Nayarit
