Departamento,confirmado,recuperados,defunciones
Amazonas,2241.0,1862.0,88.0
Antioquia,3647.0,1405.0,22.0
Arauca,76.0,3.0,0.0
Atlantico,20246.0,5896.0,918.0
Bogota,25540.0,10999.0,572.0
Bolivar,8138.0,3759.0,310.0
Boyaca,340.0,203.0,11.0
Caldas,243.0,154.0,7.0
Caqueta,26.0,22.0,1.0
Casanare,64.0,35.0,0.0
Cauca,321.0,134.0,13.0
Cesar,813.0,315.0,21.0
Choco,1321.0,365.0,35.0
Cordoba,548.0,176.0,33.0
Cundinamarca,2380.0,1178.0,53.0
Guainia,14.0,2.0,1.0
Guaviare,37.0,3.0,0.0
Huila,321.0,243.0,9.0
La Guajira,273.0,65.0,13.0
Magdalena,1545.0,658.0,102.0
Meta,1181.0,956.0,13.0
Narino,2976.0,1605.0,101.0
Norte de Santander,288.0,147.0,19.0
Putumayo,20.0,9.0,6.0
Quindio,160.0,114.0,4.0
Risaralda,494.0,266.0,11.0
San Andres y Providencia,24.0,17.0,0.0
Santander,562.0,157.0,13.0
Sucre,895.0,78.0,39.0
Tolima,741.0,292.0,19.0
Valle del Cauca,8938.0,3806.0,377.0
Vaupes,28.0,12.0,0.0
Vichada,1.0,1.0,0.0
