Departamento,confirmado,recuperados,defunciones
Amazonas,2204.0,1747.0,84.0
Antioquia,3009.0,1128.0,14.0
Arauca,70.0,2.0,0.0
Atlantico,16229.0,4337.0,682.0
Bogota,21541.0,9671.0,490.0
Bolivar,7067.0,2970.0,269.0
Boyaca,307.0,196.0,11.0
Caldas,231.0,140.0,7.0
Caqueta,30.0,22.0,1.0
Casanare,57.0,35.0,0.0
Cauca,258.0,107.0,10.0
Cesar,730.0,188.0,21.0
Choco,1010.0,251.0,31.0
Cordoba,458.0,115.0,24.0
Cundinamarca,2036.0,938.0,47.0
Guainia,14.0,2.0,1.0
Guaviare,10.0,0.0,0.0
Huila,310.0,239.0,9.0
La Guajira,223.0,57.0,10.0
Magdalena,1298.0,582.0,86.0
Meta,1105.0,956.0,13.0
Narino,2682.0,1201.0,89.0
Norte de Santander,248.0,118.0,15.0
Putumayo,17.0,9.0,4.0
Quindio,150.0,109.0,4.0
Risaralda,424.0,252.0,11.0
San Andres y Providencia,23.0,17.0,0.0
Santander,490.0,106.0,11.0
Sucre,588.0,47.0,20.0
Tolima,675.0,258.0,16.0
Valle del Cauca,7660.0,3156.0,330.0
Vaupes,28.0,11.0,0.0
Vichada,1.0,1.0,0.0
