id_estado,confirmado,estado
2,1569.0,Baja California
9,5548.0,Ciudad de Mexico
25,1008.0,Sinaloa
5,420.0,Coahuila
19,366.0,Nuevo Leon
21,708.0,Puebla
15,3422.0,Mexico
28,338.0,Tamaulipas
31,489.0,Yucatan
16,345.0,Michoacan
12,316.0,Guerrero
3,322.0,Baja California Sur
27,1066.0,Tabasco
14,375.0,Jalisco
8,400.0,Chihuahua
17,366.0,Morelos
30,617.0,Veracruz
1,224.0,Aguascalientes
23,830.0,Quintana Roo
10,70.0,Durango
26,240.0,Sonora
4,100.0,Campeche
18,96.0,Nayarit
22,146.0,Queretaro
24,121.0,San Luis Potosi
11,283.0,Guanajuato
7,193.0,Chiapas
29,217.0,Tlaxcala
13,282.0,Hidalgo
32,87.0,Zacatecas
20,147.0,Oaxaca
6,28.0,Colima
