Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2479.0,2296.0,101.0,82.0
Antioquia,21922.0,6011.0,301.0,15610.0
Arauca,174.0,106.0,1.0,67.0
Atlantico,47005.0,29592.0,2332.0,15081.0
Bogota,77889.0,32222.0,2000.0,43667.0
Bolivar,16118.0,10947.0,528.0,4643.0
Boyaca,734.0,386.0,24.0,324.0
Caldas,583.0,258.0,7.0,318.0
Caqueta,489.0,55.0,8.0,426.0
Casanare,202.0,96.0,4.0,102.0
Cauca,1416.0,539.0,43.0,834.0
Cesar,2367.0,1259.0,46.0,1062.0
Choco,2787.0,1749.0,86.0,952.0
Cordoba,3458.0,895.0,404.0,2159.0
Cundinamarca,6825.0,3273.0,161.0,3391.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,73.0,43.0,0.0,30.0
Huila,646.0,365.0,18.0,263.0
La Guajira,1696.0,658.0,98.0,940.0
Magdalena,4829.0,2241.0,301.0,2287.0
Meta,2148.0,1430.0,26.0,692.0
Narino,6461.0,3558.0,190.0,2713.0
Norte de Santander,1388.0,355.0,54.0,979.0
Putumayo,495.0,22.0,22.0,451.0
Quindio,235.0,185.0,6.0,44.0
Risaralda,1234.0,606.0,24.0,604.0
San Andres y Providencia,33.0,27.0,0.0,6.0
Santander,2403.0,861.0,59.0,1483.0
Sucre,4974.0,1733.0,302.0,2939.0
Tolima,1985.0,1194.0,38.0,753.0
Valle del Cauca,20416.0,10859.0,789.0,8768.0
Vaupes,61.0,29.0,1.0,31.0
Vichada,2.0,1.0,0.0,1.0
