Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2654.0,2404.0,107.0,143.0
Antioquia,60873.0,32702.0,1121.0,27050.0
Arauca,560.0,225.0,10.0,325.0
Atlantico,60542.0,49508.0,2756.0,8278.0
Bogota,158674.0,87444.0,4269.0,66961.0
Bolivar,21593.0,17697.0,644.0,3252.0
Boyaca,2063.0,875.0,52.0,1136.0
Caldas,1599.0,721.0,24.0,854.0
Caqueta,3511.0,1307.0,100.0,2104.0
Casanare,613.0,266.0,12.0,335.0
Cauca,3222.0,1732.0,112.0,1378.0
Cesar,5452.0,2748.0,117.0,2587.0
Choco,3439.0,2768.0,123.0,548.0
Cordoba,13231.0,6227.0,936.0,6068.0
Cundinamarca,14572.0,8295.0,413.0,5864.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,193.0,97.0,0.0,96.0
Huila,2343.0,875.0,60.0,1408.0
La Guajira,3379.0,2043.0,166.0,1170.0
Magdalena,9915.0,6037.0,498.0,3380.0
Meta,5014.0,2818.0,88.0,2108.0
Narino,11273.0,7105.0,400.0,3768.0
Norte de Santander,6500.0,2800.0,368.0,3332.0
Putumayo,1884.0,792.0,89.0,1003.0
Quindio,649.0,310.0,18.0,321.0
Risaralda,3475.0,1410.0,62.0,2003.0
San Andres y Providencia,82.0,38.0,0.0,44.0
Santander,9608.0,3417.0,378.0,5813.0
Sucre,8443.0,5512.0,413.0,2518.0
Tolima,4327.0,2263.0,98.0,1966.0
Valle del Cauca,36847.0,23906.0,1374.0,11567.0
Vaupes,139.0,60.0,1.0,78.0
Vichada,6.0,5.0,0.0,1.0
