Departamento,confirmado,recuperados,defunciones
Amazonas,1852.0,469.0,64.0
Antioquia,1200.0,505.0,6.0
Arauca,1.0,1.0,0.0
Atlantico,4550.0,1093.0,121.0
Bogota,10743.0,4115.0,267.0
Bolivar,3364.0,717.0,156.0
Boyaca,212.0,101.0,8.0
Caldas,147.0,105.0,6.0
Caqueta,24.0,18.0,1.0
Casanare,35.0,25.0,0.0
Cauca,113.0,49.0,4.0
Cesar,324.0,62.0,11.0
Choco,295.0,47.0,8.0
Cordoba,135.0,48.0,7.0
Cundinamarca,983.0,291.0,18.0
Guainia,6.0,0.0,0.0
Huila,251.0,191.0,9.0
La Guajira,65.0,27.0,3.0
Magdalena,653.0,269.0,42.0
Meta,981.0,895.0,9.0
Narino,1263.0,245.0,54.0
Putumayo,9.0,1.0,1.0
Quindío,113.0,79.0,3.0
Risaralda,258.0,225.0,9.0
San Andres y Providencia,17.0,15.0,0.0
Santander,214.0,144.0,17.0
Sucre,25.0,4.0,0.0
Tolima,274.0,147.0,7.0
Valle del Cauca,3714.0,1254.0,178.0
Vaupes,11.0,0.0,0.0
Vichada,1.0,0.0,0.0
