Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2741.0,2611.0,117.0,13.0
Antioquia,109651.0,95140.0,2296.0,12215.0
Arauca,1641.0,1311.0,41.0,289.0
Atlantico,67074.0,62635.0,3053.0,1386.0
Bogota,260559.0,225706.0,6650.0,28203.0
Bolivar,28475.0,26747.0,764.0,964.0
Boyaca,6816.0,5221.0,133.0,1462.0
Caldas,5393.0,3994.0,120.0,1279.0
Caqueta,8202.0,6957.0,284.0,961.0
Casanare,2136.0,1466.0,43.0,627.0
Cauca,8931.0,7172.0,246.0,1513.0
Cesar,18561.0,14838.0,546.0,3177.0
Choco,3980.0,3685.0,155.0,140.0
Cordoba,23516.0,20352.0,1511.0,1653.0
Cundinamarca,32337.0,27724.0,952.0,3661.0
Guainia,743.0,536.0,11.0,196.0
Guaviare,742.0,561.0,12.0,169.0
Huila,10763.0,8069.0,324.0,2370.0
La Guajira,7771.0,6543.0,291.0,937.0
Magdalena,15005.0,12942.0,812.0,1251.0
Meta,15359.0,12953.0,392.0,2014.0
Narino,17956.0,15593.0,668.0,1695.0
Norte de Santander,15145.0,12783.0,868.0,1494.0
Putumayo,3712.0,3196.0,167.0,349.0
Quindio,3182.0,2147.0,90.0,945.0
Risaralda,10674.0,8393.0,231.0,2050.0
San Andres y Providencia,1117.0,575.0,11.0,531.0
Santander,29468.0,23267.0,1236.0,4965.0
Sucre,13907.0,12658.0,570.0,679.0
Tolima,11756.0,9718.0,308.0,1730.0
Valle del Cauca,59785.0,50944.0,2189.0,6652.0
Vaupes,750.0,622.0,8.0,120.0
Vichada,469.0,418.0,4.0,47.0
