Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2513.0,2354.0,104.0,55.0
Antioquia,41978.0,14378.0,655.0,26945.0
Arauca,248.0,154.0,5.0,89.0
Atlantico,55206.0,41484.0,2598.0,11124.0
Bogota,113548.0,55013.0,3169.0,55366.0
Bolivar,19306.0,14448.0,605.0,4253.0
Boyaca,1239.0,555.0,31.0,653.0
Caldas,1061.0,330.0,15.0,716.0
Caqueta,1647.0,359.0,41.0,1247.0
Casanare,366.0,148.0,6.0,212.0
Cauca,2181.0,1007.0,74.0,1100.0
Cesar,3735.0,1754.0,75.0,1906.0
Choco,3098.0,2338.0,106.0,654.0
Cordoba,7249.0,2496.0,756.0,3997.0
Cundinamarca,10231.0,5303.0,279.0,4649.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,115.0,58.0,0.0,57.0
Huila,1164.0,512.0,27.0,625.0
La Guajira,2382.0,1346.0,134.0,902.0
Magdalena,7200.0,3946.0,391.0,2863.0
Meta,3074.0,1954.0,44.0,1076.0
Narino,8596.0,5091.0,282.0,3223.0
Norte de Santander,3087.0,923.0,145.0,2019.0
Putumayo,1208.0,257.0,47.0,904.0
Quindio,409.0,210.0,9.0,190.0
Risaralda,2148.0,848.0,41.0,1259.0
San Andres y Providencia,45.0,32.0,0.0,13.0
Santander,4752.0,1682.0,145.0,2925.0
Sucre,6497.0,3710.0,386.0,2401.0
Tolima,3021.0,1699.0,62.0,1260.0
Valle del Cauca,27592.0,15796.0,1081.0,10715.0
Vaupes,61.0,59.0,1.0,1.0
Vichada,8.0,1.0,0.0,7.0
