Departamento,confirmado
Bogota,2633.0
Valle del Cauca,945.0
Antioquia,472.0
Bolivar,294.0
Huila,120.0
Meta,372.0
Risaralda,199.0
Santander,109.0
Caldas,69.0
Cundinamarca,223.0
Atlantico,309.0
Quindio,60.0
Tolima,68.0
Cauca,35.0
Magdalena,202.0
Cesar,55.0
San Andres y Providencia,6.0
Casanare,18.0
Narino,118.0
Boyaca,39.0
Cordoba,26.0
Sucre,1.0
La Guajira,9.0
Choco,13.0
Amazonas,104.0
Caqueta,8.0
