Departamento,confirmado
Bogota,2543.0
Valle del Cauca,904.0
Antioquia,468.0
Bolivar,268.0
Huila,104.0
Meta,363.0
Risaralda,193.0
Santander,109.0
Caldas,59.0
Cundinamarca,219.0
Atlantico,253.0
Quindio,60.0
Tolima,66.0
Cauca,35.0
Magdalena,172.0
Cesar,55.0
San Andres y Providencia,6.0
Casanare,18.0
Narino,118.0
Boyaca,37.0
Cordoba,26.0
Sucre,1.0
La Guajira,5.0
Choco,13.0
Amazonas,104.0
Caqueta,8.0
