id_estado,estado,confirmado,defunciones
25,Sinaloa,18795.0,3196.0
1,Aguascalientes,7270.0,630.0
18,Nayarit,6000.0,748.0
15,Mexico,81532.0,11824.0
19,Nuevo Leon,40495.0,3110.0
26,Sonora,24728.0,2871.0
28,Tamaulipas,29057.0,2218.0
12,Guerrero,19146.0,1953.0
14,Jalisco,27218.0,3315.0
21,Puebla,31380.0,4051.0
2,Baja California,19510.0,3586.0
3,Baja California Sur,10341.0,469.0
9,Ciudad de Mexico,127463.0,9704.0
17,Morelos,5946.0,1099.0
30,Veracruz,33480.0,4369.0
22,Queretaro,9216.0,942.0
32,Zacatecas,7492.0,720.0
16,Michoacan,20563.0,1682.0
23,Quintana Roo,11939.0,1665.0
5,Coahuila,26568.0,1899.0
8,Chihuahua,11324.0,1399.0
20,Oaxaca,17127.0,1454.0
27,Tabasco,32057.0,2777.0
11,Guanajuato,41063.0,2948.0
4,Campeche,5982.0,820.0
10,Durango,9051.0,643.0
31,Yucatan,18451.0,1599.0
7,Chiapas,6552.0,1090.0
29,Tlaxcala,7539.0,1095.0
13,Hidalgo,12853.0,1962.0
24,San Luis Potosi,23219.0,1704.0
6,Colima,4958.0,536.0
