Departamento,confirmado
Bogota,3469.0
Valle del Cauca,1177.0
Antioquia,456.0
Bolivar,430.0
Huila,137.0
Meta,742.0
Risaralda,212.0
Santander,125.0
Caldas,94.0
Cundinamarca,258.0
Atlantico,679.0
Quindio,63.0
Tolima,94.0
Cauca,40.0
Magdalena,256.0
Cesar,70.0
San Andres y Providencia,6.0
Casanare,20.0
Narino,253.0
Boyaca,60.0
Cordoba,30.0
Sucre,1.0
La Guajira,14.0
Choco,27.0
Amazonas,230.0
Caqueta,15.0
Cundinamara,1.0
