id_estado,estado,confirmado,defunciones
27,Tabasco,17792.0,1597.0
25,Sinaloa,11350.0,1837.0
2,Baja California,12053.0,2397.0
15,Mexico,46443.0,7253.0
9,Ciudad de Mexico,63527.0,6710.0
21,Puebla,16386.0,1970.0
20,Oaxaca,8792.0,830.0
14,Jalisco,10642.0,1240.0
31,Yucatan,7302.0,694.0
17,Morelos,3629.0,774.0
23,Quintana Roo,6285.0,800.0
28,Tamaulipas,11299.0,687.0
30,Veracruz,17172.0,2224.0
18,Nayarit,2802.0,287.0
7,Chiapas,5466.0,870.0
1,Aguascalientes,3486.0,204.0
26,Sonora,14608.0,1478.0
10,Durango,3314.0,230.0
5,Coahuila,9300.0,464.0
16,Michoacan,8140.0,653.0
8,Chihuahua,4387.0,809.0
13,Hidalgo,5490.0,845.0
12,Guerrero,9132.0,1224.0
19,Nuevo Leon,12575.0,669.0
6,Colima,1232.0,133.0
3,Baja California Sur,3217.0,118.0
22,Queretaro,2959.0,375.0
4,Campeche,3626.0,358.0
11,Guanajuato,15198.0,732.0
29,Tlaxcala,3864.0,538.0
24,San Luis Potosi,6055.0,321.0
32,Zacatecas,1873.0,164.0
