id_estado,estado,confirmado,defunciones
9,Ciudad de Mexico,89421.0,8038.0
25,Sinaloa,15020.0,2608.0
15,Mexico,63194.0,9498.0
27,Tabasco,26500.0,2378.0
23,Quintana Roo,9589.0,1286.0
2,Baja California,15689.0,3007.0
17,Morelos,4813.0,946.0
21,Puebla,25064.0,3195.0
28,Tamaulipas,22022.0,1628.0
30,Veracruz,26372.0,3460.0
8,Chihuahua,7021.0,1062.0
16,Michoacan,13084.0,1045.0
31,Yucatan,13211.0,1178.0
26,Sonora,20385.0,2434.0
12,Guerrero,13752.0,1607.0
13,Hidalgo,9218.0,1387.0
5,Coahuila,18846.0,1189.0
14,Jalisco,17587.0,2109.0
29,Tlaxcala,5847.0,897.0
19,Nuevo Leon,25306.0,1940.0
4,Campeche,5265.0,704.0
7,Chiapas,6114.0,1041.0
6,Colima,3044.0,318.0
1,Aguascalientes,4968.0,342.0
22,Queretaro,5278.0,584.0
3,Baja California Sur,6728.0,291.0
10,Durango,5611.0,393.0
11,Guanajuato,28023.0,1490.0
18,Nayarit,4517.0,516.0
20,Oaxaca,12738.0,1202.0
32,Zacatecas,4432.0,400.0
24,San Luis Potosi,15147.0,933.0
